company,website,location,segment,pain_hypothesis_ASSUMPTION,evidence_source,decision_maker_role,public_contact_channel,outreach_angle,priority_1_10
Bali Realty,balirealty.com,Seminyak,Real estate agency,15+ years; publishes market-transition analysis - knows leads are scarcer now,S20 S47,Founder (Nathan Ryan per site),Website contact,Their own 2026 report as the hook: fewer leads = zero tolerance for leakage,8
Balitecture Realty,balitecturerealty.com,Canggu/Uluwatu,Realty + development,Off-plan buyers need months of nurture - automated education sequences,S47,Founder,Website contact,Nurture engine for off-plan long cycles,7
Ray White Kuta,raywhitekuta.com (verify),Kuta/island-wide,Real estate agency,3500+ listings claimed - massive inquiry routing problem,S47,Principal,Listed office phone + info@ email,Lead routing + per-agent ownership at franchise scale,7
Bali Coconut Living,balicoconutliving.com (verify),Kerobokan/Canggu,Real estate agency,Leasehold+freehold rentals and sales - two funnels one team,S47,Founder,Listed info@ email,One pipeline for two funnels,6
Villas of Bali,villasofbali.com (verify),Seminyak/Canggu,Realty + rentals,Since 2006 established flow - legacy processes likely manual,S47,Founder/GM,Website contact,Modernize response without changing the team,6
Raja Villa Property,rajavillaproperty.com (verify),Bali,Real estate agency,SME agency - founder likely answering WhatsApp personally,S47,Founder,Website contact,Founder bottleneck relief,6
LaChance,lachance-bali.com (verify),Canggu,Real estate agency,Closed Sundays per listicle - weekend inquiries going cold,S47,Founder,Website contact,Sunday leads answered while you rest,7
Bali Real Estate Consultants,balirealestateconsultants.com,Sanur/Bali,Real estate agency,Exclusive listings high-value buyers across time zones,S47,Founder,Website contact,After-hours qualified buyer capture,6
Cocoon Medical Spa,cocoonmedicalspa.com,Legian/Ubud/Canggu,Aesthetic clinic,3 locations single WhatsApp line listed - routing + volume risk,S48,Owner/Clinic Director,Listed info@ + WhatsApp,Multi-location inquiry routing + booking,8
Lumina Aesthetics,luminaaesthetics.com,Legian,Aesthetic clinic,Content-active clinic - inquiry volume from intl patients,S48,Founder/Doctor,Website contact,After-hours AU/SG patient booking,7
Body Lab Bali,bodylabbali.com (verify),Seminyak,Aesthetic clinic,4.9-rated loyal intl base since 2017-2020 - front desk at capacity,S48,Owner (Dr. Irene per directory),Website contact/WhatsApp,Never miss a returning client's message,7
Skin Studio Aesthetics,skinstudiobali.com (verify),Seminyak,Aesthetic clinic,Partner of Alila + Elite Havens - premium guests expect instant replies,S48,Founder,Website contact/IG,Concierge-grade instant response matching partners' standards,8
SOMA Aesthetics & Longevity,somabali.com (verify),Uluwatu,Aesthetic/longevity clinic,Broad service menu (IV mobile hair laser) - complex FAQ load,S48,Founder,Website contact/IG,FAQ + booking automation across service lines,7
Dermaster Bali,dermaster-bali or IG @dermaster.bali (verify),Denpasar+Seminyak,Aesthetic clinic,Publicly praised for fast WhatsApp responses - protect that at scale across 2 sites,S48,Clinic Manager,WhatsApp (booking channel per source),Keep the fast-response reputation as volume grows,6
Anaya Aesthetics,anayaaesthetics (verify),Kerobokan,Aesthetic clinic,Doctor-led SME - front desk likely juggling treatments and phones,S48,Founder (Dr. Bhertha per source),Listed phone/WhatsApp,35% of calls missed mid-treatment pattern,6
ARC Clinic,arcclinic (verify),Seminyak,Anti-aging clinic,Claims Indonesia's largest anti-aging facility - inquiry scale,S48,Clinic Director,Listed phone,Scale-grade inquiry handling,6
MOII Aesthetics,moii.clinic (verify),Kerobokan,Aesthetic clinic,Full-menu clinic incl. surgical - consult qualification matters,S48,Founder,Listed phone,Qualified consult booking (right doctor right slot),6
Mysa Clinic,mysaclinicbali (verify),Canggu,Aesthetic clinic,Canggu digital-nomad clientele messaging at odd hours,S48,Founder,Website/IG,Night owls book while you sleep,6
Healthy Look Aesthetic,healthylook (verify),Ubud,Aesthetic clinic,Inside a resort - guest inquiries flow via multiple channels,S48,Founder,Website contact,Resort-partner inquiry capture,5
Eterna Clinic,eternaclinicbali (verify),Kuta/Sunset Road,Aesthetic clinic,IG-active - DM inquiries likely unmanaged,S48,Founder,IG @eternaclinicbali,IG DM to booked consult automation,6
NgoerahSun Wellness,via Prof. Ngoerah Hospital (verify),Denpasar,Hospital aesthetic center,Multi-floor facility - institutional inquiry routing,S48,Center Director,Hospital contact page,Slower sale (institution) - low priority door,4
Asian Prophecy Clinic,asianprophecy (verify),Ubud,Aesthetic clinic,SME clinic tourist-heavy area,S48,Founder doctor,Listed phone,Missed-call recovery,5
The Laser Lounge,laserloungebali (verify),Kerobokan,Laser clinic,Course-based treatments (3-4 sessions) - follow-up + rebooking automation,S48,Founder,Listed address/IG,Automated rebooking sequences,6
Shaz Aesthetic & Medi Spa,shazaesthetic (verify),Seminyak,Medi spa,Award-winning SME - front desk load,S48,Founder,ClassPass/IG,Instant response + booking,5
Elasto Beauty,IG @elastobeauty.bali,Canggu/Berawa,Cosmetology clinic,New IG-first clinic - DMs are the funnel,S48,Founder,IG DM (business),IG-DM booking automation,5
McCone Properties,mccone.com (verify),Dubai,Brokerage,Large consultant network across communities - lead routing at scale,S49,Sales Director,Website contact,Per-agent WhatsApp + stale-lead alerts,7
Allsopp & Allsopp,allsoppandallsopp.com (verify),Dubai,Brokerage,High-volume family-owned - portal leads at all hours,S49,Head of Sales,Website contact,After-hours portal lead capture EN/AR,7
Betterhomes,bhomes.com (verify),Dubai,Brokerage,166 agents 4 branches - fragmentation risk across teams,S49,COO/Head of Sales,Website contact,Unified pipeline across branches,6
haus & haus,hausandhaus.com (verify),Dubai,Brokerage,289 experts across service lines - inquiry triage complexity,S49,Managing Director,Website contact,Routing sales vs leasing vs mgmt inquiries instantly,7
White & Co,whiteandcoproperty.com (verify),Dubai (Motor City),Brokerage,397 agents 7336 listings - #1 in secondary leads = highest leak exposure,S49,Founder/Head of Sales,Website contact,You win the most leads - are you keeping them all?,8
Espace Real Estate,espace.ae (verify),Dubai,Brokerage,106 agents UK-standards positioning - SLA culture receptive,S49,Managing Director,Website contact,Make the UK-standard response measurable,6
fam Properties,famproperties.com (verify),Dubai,Brokerage,~1500 agents 35 branches - enterprise scale (long sale; low priority),S49,CTO/COO,Website contact,Dashboarded response SLA per branch,4
AX Capital,axcapital.ae (verify),Dubai,Brokerage,Tech-forward positioning - receptive to AI layer,S49,Head of Sales,Website contact,AI qualification before agent calendar,6
Driven Properties,drivenproperties.com,Dubai,Brokerage,164 agents intl desks (CN/KR/JP) - multilingual instant response fit,S49,Head of Sales,Website contact,Multilingual AI first response,6
Metropolitan Premium Properties,metropolitan.realestate (verify),Dubai,Brokerage,Intl investor clientele across time zones,S49,Head of Sales,Website contact,Overnight investor inquiries answered instantly,6
Provident Real Estate,providentestate.com (verify),Dubai,Brokerage,Holiday-homes arm = guest+buyer double funnel,S49,GM,Website contact,One system two funnels (guests + buyers),6
Engel & Voelkers Dubai,evrealestate.com (verify),Dubai,Brokerage (lux),94 agents luxury intl clients,S49,License Partner,Website contact,Concierge-grade response for HNW leads,5
Christie's Intl RE Dubai,(verify),Dubai,Brokerage (lux),HNW referral network - brand demands instant white-glove response,S49,Managing Director,Website contact,White-glove AI triage,4
Knight Frank Dubai,knightfrank.ae (verify),Dubai,Brokerage (lux),Global brand local leads,S49,Partner,Website contact,Low priority (corporate procurement),3
Luxury Residences,(verify),Dubai,Brokerage (lux),Boutique lux volume unknown,S49,Founder,Website contact,Boutique = founder-reachable,5
John Taylor Dubai,john-taylor.com (verify),Dubai,Brokerage (lux),Cross-border clientele time zones,S49,Director,Website contact,Cross-border inquiry capture,4
K Estates,kestates.ae (verify),Dubai,Boutique brokerage,Boutique personalized service - manual comms load,S49,Founder,Website contact,Personal service at scale via AI triage,6
Dom9,(verify),Dubai,Boutique brokerage,Boutique area-focused,S49,Founder,Website contact,Founder-to-founder pitch,5
Exclusive Links,exclusive-links.com (verify),Dubai,Brokerage,Boutique established - likely lean ops team,S49,GM,Website contact,Lean team force multiplier,5
AZCO Real Estate,azcorealestate.com (verify),Dubai,Brokerage,Multilingual high-volume,S49,Head of Sales,Website contact,Multilingual lead qualification,6
FIDU Properties,fidu.ae (verify),Dubai,Brokerage,Platinum portfolio residential+commercial mix,S49,Sales Director,Website contact,Routing by asset type instantly,5
D&B Properties,dandbdubai.com (verify),Dubai,Brokerage,Off-plan focus - long nurture cycles fit automation,S49,Head of Sales,Website contact,Off-plan nurture sequences,6
Treo Homes,treohomes.com (verify),Dubai,Brokerage,2017 boutique British standards,S49,Founder,Website contact,SLA-culture pitch,5
Strada Real Estate,(verify),Dubai,Brokerage,Rising firm per rankings - growth-stage pain,S49,Founder,Website contact,Scale without hiring more coordinators,6
H&S Real Estate,hsproperty.ae,Dubai,Brokerage,Awarded lux brokerage off-plan focus,S49,Head of Sales,Website contact,Off-plan lead nurture,5
IMEX Real Estate,imexre.com (verify),Dubai,Brokerage,Global clients maintenance+transactions mix,S49,GM,Website contact,Inquiry triage across service lines,4
